Algorithm,Run,C
PA1_L1,11,0.0641099363078666
PA1_L1,12,0.0641099363078666
PA1_L1,13,0.0641099363078666
PA1_L1,14,0.0641099363078666
PA1_L1,15,0.0641099363078666
PA1_L1,16,0.0641099363078666
PA1_L1,17,0.0641099363078666
PA1_L1,18,0.0641099363078666
PA1_L1,19,0.0641099363078666
PA1_L1,20,0.0641099363078666
PA1_L2,1,0.0638339463400214
PA1_L2,2,0.0638339463400214
PA1_L2,3,0.0638339463400214
PA1_L2,4,0.0638339463400214
PA1_L2,5,0.0638339463400214
PA1_L2,6,0.0638339463400214
PA1_L2,7,0.0638339463400214
PA1_L2,8,0.0638339463400214
PA1_L2,9,0.0638339463400214
PA1_L2,10,0.0638339463400214
PA1_L2,11,0.0638339463400214
PA1_L2,12,0.0638339463400214
PA1_L2,13,0.0638339463400214
PA1_L2,14,0.0638339463400214
PA1_L2,15,0.0638339463400214
PA1_L2,16,0.0638339463400214
PA1_L2,17,0.0638339463400214
PA1_L2,18,0.0638339463400214
PA1_L2,19,0.0638339463400214
PA1_L2,20,0.0638339463400214
PA2_L1,1,21.57399220516175
PA2_L1,2,21.57399220516175
PA2_L1,3,21.57399220516175
PA2_L1,4,21.57399220516175
PA2_L1,5,21.57399220516175
PA2_L1,6,21.57399220516175
PA2_L1,7,21.57399220516175
PA2_L1,8,21.57399220516175
PA2_L1,9,21.57399220516175
PA2_L1,10,21.57399220516175
PA2_L1,11,21.57399220516175
PA2_L1,12,21.57399220516175
PA2_L1,13,21.57399220516175
PA2_L1,14,21.57399220516175
PA2_L1,15,21.57399220516175
PA2_L1,16,21.57399220516175
PA2_L1,17,21.57399220516175
PA2_L1,18,21.57399220516175
PA2_L1,19,21.57399220516175
PA2_L1,20,21.57399220516175
PA2_L2,1,0.0641671027948516
PA2_L2,2,0.0641671027948516
PA2_L2,3,0.0641671027948516
PA2_L2,4,0.0641671027948516
PA2_L2,5,0.0641671027948516
PA2_L2,6,0.0641671027948516
PA2_L2,7,0.0641671027948516
PA2_L2,8,0.0641671027948516
PA2_L2,9,0.0641671027948516
PA2_L2,10,0.0641671027948516
PA2_L2,11,0.0641671027948516
PA2_L2,12,0.0641671027948516
PA2_L2,13,0.0641671027948516
PA2_L2,14,0.0641671027948516
PA2_L2,15,0.0641671027948516
PA2_L2,16,0.0641671027948516
PA2_L2,17,0.0641671027948516
PA2_L2,18,0.0641671027948516
PA2_L2,19,0.0641671027948516
PA2_L2,20,0.0641671027948516
OGD_1,1,0.0834522103710124
OGD_1,2,0.0834522103710124
OGD_1,3,0.0834522103710124
OGD_1,4,0.0834522103710124
OGD_1,5,0.0834522103710124
OGD_1,6,0.0834522103710124
OGD_1,7,0.0834522103710124
OGD_1,8,0.0834522103710124
OGD_1,9,0.0834522103710124
OGD_1,10,0.0834522103710124
OGD_1,11,0.0834522103710124
OGD_1,12,0.0834522103710124
OGD_1,13,0.0834522103710124
OGD_1,14,0.0834522103710124
OGD_1,15,0.0834522103710124
OGD_1,16,0.0834522103710124
OGD_1,17,0.0834522103710124
OGD_1,18,0.0834522103710124
OGD_1,19,0.0834522103710124
OGD_1,20,0.0834522103710124
OGD_2,1,0.8707996749743636
OGD_2,2,0.8707996749743636
OGD_2,3,0.8707996749743636
OGD_2,4,0.8707996749743636
OGD_2,5,0.8707996749743636
OGD_2,6,0.8707996749743636
OGD_2,7,0.8707996749743636
OGD_2,8,0.8707996749743636
OGD_2,9,0.8707996749743636
OGD_2,10,0.8707996749743636
OGD_2,11,0.8707996749743636
OGD_2,12,0.8707996749743636
OGD_2,13,0.8707996749743636
OGD_2,14,0.8707996749743636
OGD_2,15,0.8707996749743636
OGD_2,16,0.8707996749743636
OGD_2,17,0.8707996749743636
OGD_2,18,0.8707996749743636
OGD_2,19,0.8707996749743636
OGD_2,20,0.8707996749743636
Gaussian_Kernel_OGD,1,1.0
Gaussian_Kernel_OGD,2,1.0
Gaussian_Kernel_OGD,3,1.0
Gaussian_Kernel_OGD,4,1.0
Gaussian_Kernel_OGD,5,1.0
Gaussian_Kernel_OGD,6,1.0
Gaussian_Kernel_OGD,7,1.0
Gaussian_Kernel_OGD,8,1.0
Gaussian_Kernel_OGD,9,1.0
Gaussian_Kernel_OGD,10,1.0
Gaussian_Kernel_OGD,11,1.0
Gaussian_Kernel_OGD,12,1.0
Gaussian_Kernel_OGD,13,1.0
Gaussian_Kernel_OGD,14,1.0
Gaussian_Kernel_OGD,15,1.0
Gaussian_Kernel_OGD,16,1.0
Gaussian_Kernel_OGD,17,1.0
Gaussian_Kernel_OGD,18,1.0
Gaussian_Kernel_OGD,19,1.0
Gaussian_Kernel_OGD,20,1.0
Perceptron,1,
Perceptron,2,
Perceptron,3,
Perceptron,4,
Perceptron,5,
Perceptron,6,
Perceptron,7,
Perceptron,8,
Perceptron,9,
Perceptron,10,
Perceptron,11,
Perceptron,12,
Perceptron,13,
Perceptron,14,
Perceptron,15,
Perceptron,16,
Perceptron,17,
Perceptron,18,
Perceptron,19,
Perceptron,20,
Gaussian_Kernel_Perceptron,1,
Gaussian_Kernel_Perceptron,2,
Gaussian_Kernel_Perceptron,3,
Gaussian_Kernel_Perceptron,4,
Gaussian_Kernel_Perceptron,5,
Gaussian_Kernel_Perceptron,6,
Gaussian_Kernel_Perceptron,7,
Gaussian_Kernel_Perceptron,8,
Gaussian_Kernel_Perceptron,9,
Gaussian_Kernel_Perceptron,10,
Gaussian_Kernel_Perceptron,11,
Gaussian_Kernel_Perceptron,12,
Gaussian_Kernel_Perceptron,13,
Gaussian_Kernel_Perceptron,14,
Gaussian_Kernel_Perceptron,15,
Gaussian_Kernel_Perceptron,16,
Gaussian_Kernel_Perceptron,17,
Gaussian_Kernel_Perceptron,18,
Gaussian_Kernel_Perceptron,19,
Gaussian_Kernel_Perceptron,20,
PA_L1,1,
PA_L1,2,
PA_L1,3,
PA_L1,4,
PA_L1,5,
PA_L1,6,
PA_L1,7,
PA_L1,8,
PA_L1,9,
PA_L1,10,
PA_L1,11,
PA_L1,12,
PA_L1,13,
PA_L1,14,
PA_L1,15,
PA_L1,16,
PA_L1,17,
PA_L1,18,
PA_L1,19,
PA_L1,20,
PA_L2,1,
PA_L2,2,
PA_L2,3,
PA_L2,4,
PA_L2,5,
PA_L2,6,
PA_L2,7,
PA_L2,8,
PA_L2,9,
PA_L2,10,
PA_L2,11,
PA_L2,12,
PA_L2,13,
PA_L2,14,
PA_L2,15,
PA_L2,16,
PA_L2,17,
PA_L2,18,
PA_L2,19,
PA_L2,20,
PA1_L1,1,0.0626572868352438
PA1_L1,2,0.0626572868352438
PA1_L1,3,0.0626572868352438
PA1_L1,4,0.0626572868352438
PA1_L1,5,0.0626572868352438
PA1_L1,6,0.0626572868352438
PA1_L1,7,0.0626572868352438
PA1_L1,8,0.0626572868352438
PA1_L1,9,0.0626572868352438
PA1_L1,10,0.0626572868352438
PA1_L1,11,0.0626572868352438
PA1_L1,12,0.0626572868352438
PA1_L1,13,0.0626572868352438
PA1_L1,14,0.0626572868352438
PA1_L1,15,0.0626572868352438
PA1_L1,16,0.0626572868352438
PA1_L1,17,0.0626572868352438
PA1_L1,18,0.0626572868352438
PA1_L1,19,0.0626572868352438
PA1_L1,20,0.0626572868352438
PA1_L2,1,0.0625626102135008
PA1_L2,2,0.0625626102135008
PA1_L2,3,0.0625626102135008
PA1_L2,4,0.0625626102135008
PA1_L2,5,0.0625626102135008
PA1_L2,6,0.0625626102135008
PA1_L2,7,0.0625626102135008
PA1_L2,8,0.0625626102135008
PA1_L2,9,0.0625626102135008
PA1_L2,10,0.0625626102135008
PA1_L2,11,0.0625626102135008
PA1_L2,12,0.0625626102135008
PA1_L2,13,0.0625626102135008
PA1_L2,14,0.0625626102135008
PA1_L2,15,0.0625626102135008
PA1_L2,16,0.0625626102135008
PA1_L2,17,0.0625626102135008
PA1_L2,18,0.0625626102135008
PA1_L2,19,0.0625626102135008
PA1_L2,20,0.0625626102135008
PA2_L1,1,27.58123507915314
PA2_L1,2,27.58123507915314
PA2_L1,3,27.58123507915314
PA2_L1,4,27.58123507915314
PA2_L1,5,27.58123507915314
PA2_L1,6,27.58123507915314
PA2_L1,7,27.58123507915314
PA2_L1,8,27.58123507915314
PA2_L1,9,27.58123507915314
PA2_L1,10,27.58123507915314
PA2_L1,11,27.58123507915314
PA2_L1,12,27.58123507915314
PA2_L1,13,27.58123507915314
PA2_L1,14,27.58123507915314
PA2_L1,15,27.58123507915314
PA2_L1,16,27.58123507915314
PA2_L1,17,27.58123507915314
PA2_L1,18,27.58123507915314
PA2_L1,19,27.58123507915314
PA2_L1,20,27.58123507915314
PA2_L2,1,0.0628053880275622
PA2_L2,2,0.0628053880275622
PA2_L2,3,0.0628053880275622
PA2_L2,4,0.0628053880275622
PA2_L2,5,0.0628053880275622
PA2_L2,6,0.0628053880275622
PA2_L2,7,0.0628053880275622
PA2_L2,8,0.0628053880275622
PA2_L2,9,0.0628053880275622
PA2_L2,10,0.0628053880275622
PA2_L2,11,0.0628053880275622
PA2_L2,12,0.0628053880275622
PA2_L2,13,0.0628053880275622
PA2_L2,14,0.0628053880275622
PA2_L2,15,0.0628053880275622
PA2_L2,16,0.0628053880275622
PA2_L2,17,0.0628053880275622
PA2_L2,18,0.0628053880275622
PA2_L2,19,0.0628053880275622
PA2_L2,20,0.0628053880275622
OGD_1,1,0.0855257622426351
OGD_1,2,0.0855257622426351
OGD_1,3,0.0855257622426351
OGD_1,4,0.0855257622426351
OGD_1,5,0.0855257622426351
OGD_1,6,0.0855257622426351
OGD_1,7,0.0855257622426351
OGD_1,8,0.0855257622426351
OGD_1,9,0.0855257622426351
OGD_1,10,0.0855257622426351
OGD_1,11,0.0855257622426351
OGD_1,12,0.0855257622426351
OGD_1,13,0.0855257622426351
OGD_1,14,0.0855257622426351
OGD_1,15,0.0855257622426351
OGD_1,16,0.0855257622426351
OGD_1,17,0.0855257622426351
OGD_1,18,0.0855257622426351
OGD_1,19,0.0855257622426351
OGD_1,20,0.0855257622426351
OGD_2,1,0.9672401530449896
OGD_2,2,0.9672401530449896
OGD_2,3,0.9672401530449896
OGD_2,4,0.9672401530449896
OGD_2,5,0.9672401530449896
OGD_2,6,0.9672401530449896
OGD_2,7,0.9672401530449896
OGD_2,8,0.9672401530449896
OGD_2,9,0.9672401530449896
OGD_2,10,0.9672401530449896
OGD_2,11,0.9672401530449896
OGD_2,12,0.9672401530449896
OGD_2,13,0.9672401530449896
OGD_2,14,0.9672401530449896
OGD_2,15,0.9672401530449896
OGD_2,16,0.9672401530449896
OGD_2,17,0.9672401530449896
OGD_2,18,0.9672401530449896
OGD_2,19,0.9672401530449896
OGD_2,20,0.9672401530449896
Gaussian_Kernel_OGD,1,1.0
Gaussian_Kernel_OGD,2,1.0
Gaussian_Kernel_OGD,3,1.0
Gaussian_Kernel_OGD,4,1.0
Gaussian_Kernel_OGD,5,1.0
Gaussian_Kernel_OGD,6,1.0
Gaussian_Kernel_OGD,7,1.0
Gaussian_Kernel_OGD,8,1.0
Gaussian_Kernel_OGD,9,1.0
Gaussian_Kernel_OGD,10,1.0
Gaussian_Kernel_OGD,11,1.0
Gaussian_Kernel_OGD,12,1.0
Gaussian_Kernel_OGD,13,1.0
Gaussian_Kernel_OGD,14,1.0
Gaussian_Kernel_OGD,15,1.0
Gaussian_Kernel_OGD,16,1.0
Gaussian_Kernel_OGD,17,1.0
Gaussian_Kernel_OGD,18,1.0
Gaussian_Kernel_OGD,19,1.0
Gaussian_Kernel_OGD,20,1.0
