filename,w,t,a,b,abtype
abtype7_w15_t0.759.libsvm,15,0.759,900,100,7
abtype7_w15_t0.78.libsvm,15,0.78,900,100,7
abtype7_w15_t0.8.libsvm,15,0.8,900,100,7
abtype7_w20_t0.005.libsvm,20,0.005,900,100,7
abtype7_w20_t0.025.libsvm,20,0.025,900,100,7
abtype7_w20_t0.046.libsvm,20,0.046,900,100,7
abtype7_w20_t0.066.libsvm,20,0.066,900,100,7
abtype7_w20_t0.087.libsvm,20,0.087,900,100,7
abtype7_w20_t0.107.libsvm,20,0.107,900,100,7
abtype7_w20_t0.127.libsvm,20,0.127,900,100,7
abtype7_w20_t0.148.libsvm,20,0.148,900,100,7
abtype7_w20_t0.168.libsvm,20,0.168,900,100,7
abtype7_w20_t0.188.libsvm,20,0.188,900,100,7
abtype7_w20_t0.209.libsvm,20,0.209,900,100,7
abtype7_w20_t0.229.libsvm,20,0.229,900,100,7
abtype7_w20_t0.25.libsvm,20,0.25,900,100,7
abtype7_w20_t0.27.libsvm,20,0.27,900,100,7
abtype7_w20_t0.29.libsvm,20,0.29,900,100,7
abtype7_w20_t0.311.libsvm,20,0.311,900,100,7
abtype7_w20_t0.331.libsvm,20,0.331,900,100,7
abtype7_w20_t0.352.libsvm,20,0.352,900,100,7
abtype7_w20_t0.372.libsvm,20,0.372,900,100,7
abtype7_w20_t0.392.libsvm,20,0.392,900,100,7
abtype7_w20_t0.413.libsvm,20,0.413,900,100,7
abtype7_w20_t0.433.libsvm,20,0.433,900,100,7
abtype7_w20_t0.453.libsvm,20,0.453,900,100,7
abtype7_w20_t0.474.libsvm,20,0.474,900,100,7
abtype7_w20_t0.494.libsvm,20,0.494,900,100,7
abtype7_w20_t0.515.libsvm,20,0.515,900,100,7
abtype7_w20_t0.535.libsvm,20,0.535,900,100,7
abtype7_w20_t0.555.libsvm,20,0.555,900,100,7
abtype7_w20_t0.576.libsvm,20,0.576,900,100,7
abtype7_w20_t0.596.libsvm,20,0.596,900,100,7
abtype7_w20_t0.617.libsvm,20,0.617,900,100,7
abtype7_w20_t0.637.libsvm,20,0.637,900,100,7
abtype7_w20_t0.657.libsvm,20,0.657,900,100,7
abtype7_w20_t0.678.libsvm,20,0.678,900,100,7
abtype7_w20_t0.698.libsvm,20,0.698,900,100,7
abtype7_w20_t0.718.libsvm,20,0.718,900,100,7
abtype7_w20_t0.739.libsvm,20,0.739,900,100,7
abtype7_w20_t0.759.libsvm,20,0.759,900,100,7
abtype7_w20_t0.78.libsvm,20,0.78,900,100,7
abtype7_w20_t0.8.libsvm,20,0.8,900,100,7
abtype7_w25_t0.005.libsvm,25,0.005,900,100,7
abtype7_w25_t0.025.libsvm,25,0.025,900,100,7
abtype7_w25_t0.046.libsvm,25,0.046,900,100,7
abtype7_w25_t0.066.libsvm,25,0.066,900,100,7
abtype7_w25_t0.087.libsvm,25,0.087,900,100,7
abtype7_w25_t0.107.libsvm,25,0.107,900,100,7
abtype7_w25_t0.127.libsvm,25,0.127,900,100,7
abtype7_w25_t0.148.libsvm,25,0.148,900,100,7
abtype7_w25_t0.168.libsvm,25,0.168,900,100,7
abtype7_w25_t0.188.libsvm,25,0.188,900,100,7
abtype7_w25_t0.209.libsvm,25,0.209,900,100,7
abtype7_w25_t0.229.libsvm,25,0.229,900,100,7
abtype7_w25_t0.25.libsvm,25,0.25,900,100,7
abtype7_w25_t0.27.libsvm,25,0.27,900,100,7
abtype7_w25_t0.29.libsvm,25,0.29,900,100,7
abtype7_w25_t0.311.libsvm,25,0.311,900,100,7
abtype7_w25_t0.331.libsvm,25,0.331,900,100,7
abtype7_w25_t0.352.libsvm,25,0.352,900,100,7
abtype7_w25_t0.372.libsvm,25,0.372,900,100,7
abtype7_w25_t0.392.libsvm,25,0.392,900,100,7
abtype7_w25_t0.413.libsvm,25,0.413,900,100,7
abtype7_w25_t0.433.libsvm,25,0.433,900,100,7
abtype7_w25_t0.453.libsvm,25,0.453,900,100,7
abtype7_w25_t0.474.libsvm,25,0.474,900,100,7
abtype7_w25_t0.494.libsvm,25,0.494,900,100,7
abtype7_w25_t0.515.libsvm,25,0.515,900,100,7
abtype7_w25_t0.535.libsvm,25,0.535,900,100,7
abtype7_w25_t0.555.libsvm,25,0.555,900,100,7
abtype7_w25_t0.576.libsvm,25,0.576,900,100,7
abtype7_w25_t0.596.libsvm,25,0.596,900,100,7
abtype7_w25_t0.617.libsvm,25,0.617,900,100,7
abtype7_w25_t0.637.libsvm,25,0.637,900,100,7
abtype7_w25_t0.657.libsvm,25,0.657,900,100,7
abtype7_w25_t0.678.libsvm,25,0.678,900,100,7
abtype7_w25_t0.698.libsvm,25,0.698,900,100,7
abtype7_w25_t0.718.libsvm,25,0.718,900,100,7
abtype7_w25_t0.739.libsvm,25,0.739,900,100,7
abtype7_w25_t0.759.libsvm,25,0.759,900,100,7
abtype7_w25_t0.78.libsvm,25,0.78,900,100,7
abtype7_w25_t0.8.libsvm,25,0.8,900,100,7
abtype7_w30_t0.005.libsvm,30,0.005,900,100,7
abtype7_w30_t0.025.libsvm,30,0.025,900,100,7
abtype7_w30_t0.046.libsvm,30,0.046,900,100,7
abtype7_w30_t0.066.libsvm,30,0.066,900,100,7
abtype7_w30_t0.087.libsvm,30,0.087,900,100,7
abtype7_w30_t0.107.libsvm,30,0.107,900,100,7
abtype7_w30_t0.127.libsvm,30,0.127,900,100,7
abtype7_w30_t0.148.libsvm,30,0.148,900,100,7
abtype7_w30_t0.168.libsvm,30,0.168,900,100,7
abtype7_w30_t0.188.libsvm,30,0.188,900,100,7
abtype7_w30_t0.209.libsvm,30,0.209,900,100,7
abtype7_w30_t0.229.libsvm,30,0.229,900,100,7
abtype7_w30_t0.25.libsvm,30,0.25,900,100,7
abtype7_w30_t0.27.libsvm,30,0.27,900,100,7
abtype7_w30_t0.29.libsvm,30,0.29,900,100,7
abtype7_w30_t0.311.libsvm,30,0.311,900,100,7
abtype7_w30_t0.331.libsvm,30,0.331,900,100,7
abtype7_w30_t0.352.libsvm,30,0.352,900,100,7
abtype7_w30_t0.372.libsvm,30,0.372,900,100,7
abtype7_w30_t0.392.libsvm,30,0.392,900,100,7
abtype7_w30_t0.413.libsvm,30,0.413,900,100,7
abtype7_w30_t0.433.libsvm,30,0.433,900,100,7
abtype7_w30_t0.453.libsvm,30,0.453,900,100,7
abtype7_w30_t0.474.libsvm,30,0.474,900,100,7
abtype7_w30_t0.494.libsvm,30,0.494,900,100,7
abtype7_w30_t0.515.libsvm,30,0.515,900,100,7
abtype7_w30_t0.535.libsvm,30,0.535,900,100,7
abtype7_w30_t0.555.libsvm,30,0.555,900,100,7
abtype7_w30_t0.576.libsvm,30,0.576,900,100,7
abtype7_w30_t0.596.libsvm,30,0.596,900,100,7
abtype7_w30_t0.617.libsvm,30,0.617,900,100,7
abtype7_w30_t0.637.libsvm,30,0.637,900,100,7
abtype7_w30_t0.657.libsvm,30,0.657,900,100,7
abtype7_w30_t0.678.libsvm,30,0.678,900,100,7
abtype7_w30_t0.698.libsvm,30,0.698,900,100,7
abtype7_w30_t0.718.libsvm,30,0.718,900,100,7
abtype7_w30_t0.739.libsvm,30,0.739,900,100,7
abtype7_w30_t0.759.libsvm,30,0.759,900,100,7
abtype7_w30_t0.78.libsvm,30,0.78,900,100,7
abtype7_w30_t0.8.libsvm,30,0.8,900,100,7
abtype7_w35_t0.005.libsvm,35,0.005,900,100,7
abtype7_w35_t0.025.libsvm,35,0.025,900,100,7
abtype7_w35_t0.046.libsvm,35,0.046,900,100,7
abtype7_w35_t0.066.libsvm,35,0.066,900,100,7
abtype7_w35_t0.087.libsvm,35,0.087,900,100,7
abtype7_w35_t0.107.libsvm,35,0.107,900,100,7
abtype7_w35_t0.127.libsvm,35,0.127,900,100,7
abtype7_w35_t0.148.libsvm,35,0.148,900,100,7
abtype7_w35_t0.168.libsvm,35,0.168,900,100,7
abtype7_w35_t0.188.libsvm,35,0.188,900,100,7
abtype7_w35_t0.209.libsvm,35,0.209,900,100,7
abtype7_w35_t0.229.libsvm,35,0.229,900,100,7
abtype7_w35_t0.25.libsvm,35,0.25,900,100,7
abtype7_w35_t0.27.libsvm,35,0.27,900,100,7
abtype7_w35_t0.29.libsvm,35,0.29,900,100,7
abtype7_w35_t0.311.libsvm,35,0.311,900,100,7
abtype7_w35_t0.331.libsvm,35,0.331,900,100,7
abtype7_w35_t0.352.libsvm,35,0.352,900,100,7
abtype7_w35_t0.372.libsvm,35,0.372,900,100,7
abtype7_w35_t0.392.libsvm,35,0.392,900,100,7
abtype7_w35_t0.413.libsvm,35,0.413,900,100,7
abtype7_w35_t0.433.libsvm,35,0.433,900,100,7
abtype7_w35_t0.453.libsvm,35,0.453,900,100,7
abtype7_w35_t0.474.libsvm,35,0.474,900,100,7
abtype7_w35_t0.494.libsvm,35,0.494,900,100,7
abtype7_w35_t0.515.libsvm,35,0.515,900,100,7
abtype7_w35_t0.535.libsvm,35,0.535,900,100,7
abtype7_w35_t0.555.libsvm,35,0.555,900,100,7
abtype7_w35_t0.576.libsvm,35,0.576,900,100,7
abtype7_w35_t0.596.libsvm,35,0.596,900,100,7
abtype7_w35_t0.617.libsvm,35,0.617,900,100,7
abtype7_w35_t0.637.libsvm,35,0.637,900,100,7
abtype7_w35_t0.657.libsvm,35,0.657,900,100,7
abtype7_w35_t0.678.libsvm,35,0.678,900,100,7
abtype7_w35_t0.698.libsvm,35,0.698,900,100,7
abtype7_w35_t0.718.libsvm,35,0.718,900,100,7
abtype7_w35_t0.739.libsvm,35,0.739,900,100,7
abtype7_w35_t0.759.libsvm,35,0.759,900,100,7
abtype7_w35_t0.78.libsvm,35,0.78,900,100,7
abtype7_w35_t0.8.libsvm,35,0.8,900,100,7
abtype7_w40_t0.005.libsvm,40,0.005,900,100,7
abtype7_w40_t0.025.libsvm,40,0.025,900,100,7
abtype7_w40_t0.046.libsvm,40,0.046,900,100,7
abtype7_w40_t0.066.libsvm,40,0.066,900,100,7
abtype7_w40_t0.087.libsvm,40,0.087,900,100,7
abtype7_w40_t0.107.libsvm,40,0.107,900,100,7
abtype7_w40_t0.127.libsvm,40,0.127,900,100,7
abtype7_w40_t0.148.libsvm,40,0.148,900,100,7
abtype7_w40_t0.168.libsvm,40,0.168,900,100,7
abtype7_w40_t0.188.libsvm,40,0.188,900,100,7
abtype7_w40_t0.209.libsvm,40,0.209,900,100,7
abtype7_w40_t0.229.libsvm,40,0.229,900,100,7
abtype7_w40_t0.25.libsvm,40,0.25,900,100,7
abtype7_w40_t0.27.libsvm,40,0.27,900,100,7
abtype7_w40_t0.29.libsvm,40,0.29,900,100,7
abtype7_w40_t0.311.libsvm,40,0.311,900,100,7
abtype7_w40_t0.331.libsvm,40,0.331,900,100,7
abtype7_w40_t0.352.libsvm,40,0.352,900,100,7
abtype7_w40_t0.372.libsvm,40,0.372,900,100,7
abtype7_w40_t0.392.libsvm,40,0.392,900,100,7
abtype7_w40_t0.413.libsvm,40,0.413,900,100,7
abtype7_w40_t0.433.libsvm,40,0.433,900,100,7
abtype7_w40_t0.453.libsvm,40,0.453,900,100,7
abtype7_w40_t0.474.libsvm,40,0.474,900,100,7
abtype7_w40_t0.494.libsvm,40,0.494,900,100,7
abtype7_w40_t0.515.libsvm,40,0.515,900,100,7
abtype7_w40_t0.535.libsvm,40,0.535,900,100,7
abtype7_w40_t0.555.libsvm,40,0.555,900,100,7
abtype7_w40_t0.576.libsvm,40,0.576,900,100,7
abtype7_w40_t0.596.libsvm,40,0.596,900,100,7
abtype7_w40_t0.617.libsvm,40,0.617,900,100,7
abtype7_w40_t0.637.libsvm,40,0.637,900,100,7
abtype7_w40_t0.657.libsvm,40,0.657,900,100,7
abtype7_w40_t0.678.libsvm,40,0.678,900,100,7
abtype7_w40_t0.698.libsvm,40,0.698,900,100,7
abtype7_w40_t0.718.libsvm,40,0.718,900,100,7
abtype7_w40_t0.739.libsvm,40,0.739,900,100,7
abtype7_w40_t0.759.libsvm,40,0.759,900,100,7
abtype7_w40_t0.78.libsvm,40,0.78,900,100,7
abtype7_w40_t0.8.libsvm,40,0.8,900,100,7
abtype7_w45_t0.005.libsvm,45,0.005,900,100,7
abtype7_w45_t0.025.libsvm,45,0.025,900,100,7
abtype7_w45_t0.046.libsvm,45,0.046,900,100,7
abtype7_w45_t0.066.libsvm,45,0.066,900,100,7
abtype7_w45_t0.087.libsvm,45,0.087,900,100,7
abtype7_w45_t0.107.libsvm,45,0.107,900,100,7
abtype7_w45_t0.127.libsvm,45,0.127,900,100,7
abtype7_w45_t0.148.libsvm,45,0.148,900,100,7
abtype7_w45_t0.168.libsvm,45,0.168,900,100,7
abtype7_w45_t0.188.libsvm,45,0.188,900,100,7
abtype7_w45_t0.209.libsvm,45,0.209,900,100,7
abtype7_w45_t0.229.libsvm,45,0.229,900,100,7
abtype7_w45_t0.25.libsvm,45,0.25,900,100,7
abtype7_w45_t0.27.libsvm,45,0.27,900,100,7
abtype7_w45_t0.29.libsvm,45,0.29,900,100,7
abtype7_w45_t0.311.libsvm,45,0.311,900,100,7
abtype7_w45_t0.331.libsvm,45,0.331,900,100,7
abtype7_w45_t0.352.libsvm,45,0.352,900,100,7
abtype7_w45_t0.372.libsvm,45,0.372,900,100,7
abtype7_w45_t0.392.libsvm,45,0.392,900,100,7
abtype7_w45_t0.413.libsvm,45,0.413,900,100,7
abtype7_w45_t0.433.libsvm,45,0.433,900,100,7
abtype7_w45_t0.453.libsvm,45,0.453,900,100,7
abtype7_w45_t0.474.libsvm,45,0.474,900,100,7
abtype7_w45_t0.494.libsvm,45,0.494,900,100,7
abtype7_w45_t0.515.libsvm,45,0.515,900,100,7
abtype7_w45_t0.535.libsvm,45,0.535,900,100,7
abtype7_w45_t0.555.libsvm,45,0.555,900,100,7
abtype7_w45_t0.576.libsvm,45,0.576,900,100,7
abtype7_w45_t0.596.libsvm,45,0.596,900,100,7
abtype7_w45_t0.617.libsvm,45,0.617,900,100,7
abtype7_w45_t0.637.libsvm,45,0.637,900,100,7
abtype7_w45_t0.657.libsvm,45,0.657,900,100,7
abtype7_w45_t0.678.libsvm,45,0.678,900,100,7
abtype7_w45_t0.698.libsvm,45,0.698,900,100,7
abtype7_w45_t0.718.libsvm,45,0.718,900,100,7
abtype7_w45_t0.739.libsvm,45,0.739,900,100,7
abtype7_w45_t0.759.libsvm,45,0.759,900,100,7
abtype7_w45_t0.78.libsvm,45,0.78,900,100,7
abtype7_w45_t0.8.libsvm,45,0.8,900,100,7
abtype7_w50_t0.005.libsvm,50,0.005,900,100,7
abtype7_w50_t0.025.libsvm,50,0.025,900,100,7
abtype7_w50_t0.046.libsvm,50,0.046,900,100,7
abtype7_w50_t0.066.libsvm,50,0.066,900,100,7
abtype7_w50_t0.087.libsvm,50,0.087,900,100,7
abtype7_w50_t0.107.libsvm,50,0.107,900,100,7
abtype7_w50_t0.127.libsvm,50,0.127,900,100,7
abtype7_w50_t0.148.libsvm,50,0.148,900,100,7
abtype7_w50_t0.168.libsvm,50,0.168,900,100,7
abtype7_w50_t0.188.libsvm,50,0.188,900,100,7
abtype7_w50_t0.209.libsvm,50,0.209,900,100,7
abtype7_w50_t0.229.libsvm,50,0.229,900,100,7
abtype7_w50_t0.25.libsvm,50,0.25,900,100,7
abtype7_w50_t0.27.libsvm,50,0.27,900,100,7
abtype7_w50_t0.29.libsvm,50,0.29,900,100,7
abtype7_w50_t0.311.libsvm,50,0.311,900,100,7
abtype7_w50_t0.331.libsvm,50,0.331,900,100,7
abtype7_w50_t0.352.libsvm,50,0.352,900,100,7
abtype7_w50_t0.372.libsvm,50,0.372,900,100,7
abtype7_w50_t0.392.libsvm,50,0.392,900,100,7
abtype7_w50_t0.413.libsvm,50,0.413,900,100,7
abtype7_w50_t0.433.libsvm,50,0.433,900,100,7
abtype7_w50_t0.453.libsvm,50,0.453,900,100,7
abtype7_w50_t0.474.libsvm,50,0.474,900,100,7
abtype7_w50_t0.494.libsvm,50,0.494,900,100,7
abtype7_w50_t0.515.libsvm,50,0.515,900,100,7
abtype7_w50_t0.535.libsvm,50,0.535,900,100,7
abtype7_w50_t0.555.libsvm,50,0.555,900,100,7
abtype7_w50_t0.576.libsvm,50,0.576,900,100,7
abtype7_w50_t0.596.libsvm,50,0.596,900,100,7
abtype7_w50_t0.617.libsvm,50,0.617,900,100,7
abtype7_w50_t0.637.libsvm,50,0.637,900,100,7
abtype7_w50_t0.657.libsvm,50,0.657,900,100,7
abtype7_w50_t0.678.libsvm,50,0.678,900,100,7
abtype7_w50_t0.698.libsvm,50,0.698,900,100,7
abtype7_w50_t0.718.libsvm,50,0.718,900,100,7
abtype7_w50_t0.739.libsvm,50,0.739,900,100,7
abtype7_w50_t0.759.libsvm,50,0.759,900,100,7
abtype7_w50_t0.78.libsvm,50,0.78,900,100,7
abtype7_w50_t0.8.libsvm,50,0.8,900,100,7
abtype7_w55_t0.005.libsvm,55,0.005,900,100,7
abtype7_w55_t0.025.libsvm,55,0.025,900,100,7
abtype7_w55_t0.046.libsvm,55,0.046,900,100,7
abtype7_w55_t0.066.libsvm,55,0.066,900,100,7
abtype7_w55_t0.087.libsvm,55,0.087,900,100,7
abtype7_w55_t0.107.libsvm,55,0.107,900,100,7
abtype7_w55_t0.127.libsvm,55,0.127,900,100,7
abtype7_w55_t0.148.libsvm,55,0.148,900,100,7
abtype7_w55_t0.168.libsvm,55,0.168,900,100,7
abtype7_w55_t0.188.libsvm,55,0.188,900,100,7
abtype7_w55_t0.209.libsvm,55,0.209,900,100,7
abtype7_w55_t0.229.libsvm,55,0.229,900,100,7
abtype7_w55_t0.25.libsvm,55,0.25,900,100,7
abtype7_w55_t0.27.libsvm,55,0.27,900,100,7
abtype7_w55_t0.29.libsvm,55,0.29,900,100,7
abtype7_w55_t0.311.libsvm,55,0.311,900,100,7
abtype7_w55_t0.331.libsvm,55,0.331,900,100,7
abtype7_w55_t0.352.libsvm,55,0.352,900,100,7
abtype7_w55_t0.372.libsvm,55,0.372,900,100,7
abtype7_w55_t0.392.libsvm,55,0.392,900,100,7
abtype7_w55_t0.413.libsvm,55,0.413,900,100,7
abtype7_w55_t0.433.libsvm,55,0.433,900,100,7
abtype7_w55_t0.453.libsvm,55,0.453,900,100,7
abtype7_w55_t0.474.libsvm,55,0.474,900,100,7
abtype7_w55_t0.494.libsvm,55,0.494,900,100,7
abtype7_w55_t0.515.libsvm,55,0.515,900,100,7
abtype7_w55_t0.535.libsvm,55,0.535,900,100,7
abtype7_w55_t0.555.libsvm,55,0.555,900,100,7
abtype7_w55_t0.576.libsvm,55,0.576,900,100,7
abtype7_w55_t0.596.libsvm,55,0.596,900,100,7
abtype7_w55_t0.617.libsvm,55,0.617,900,100,7
abtype7_w55_t0.637.libsvm,55,0.637,900,100,7
abtype7_w55_t0.657.libsvm,55,0.657,900,100,7
abtype7_w55_t0.678.libsvm,55,0.678,900,100,7
abtype7_w55_t0.698.libsvm,55,0.698,900,100,7
abtype7_w55_t0.718.libsvm,55,0.718,900,100,7
abtype7_w55_t0.739.libsvm,55,0.739,900,100,7
abtype7_w55_t0.759.libsvm,55,0.759,900,100,7
abtype7_w55_t0.78.libsvm,55,0.78,900,100,7
abtype7_w55_t0.8.libsvm,55,0.8,900,100,7
abtype7_w60_t0.005.libsvm,60,0.005,900,100,7
abtype7_w60_t0.025.libsvm,60,0.025,900,100,7
abtype7_w60_t0.046.libsvm,60,0.046,900,100,7
abtype7_w60_t0.066.libsvm,60,0.066,900,100,7
abtype7_w60_t0.087.libsvm,60,0.087,900,100,7
abtype7_w60_t0.107.libsvm,60,0.107,900,100,7
abtype7_w60_t0.127.libsvm,60,0.127,900,100,7
abtype7_w60_t0.148.libsvm,60,0.148,900,100,7
abtype7_w60_t0.168.libsvm,60,0.168,900,100,7
abtype7_w60_t0.188.libsvm,60,0.188,900,100,7
abtype7_w60_t0.209.libsvm,60,0.209,900,100,7
abtype7_w60_t0.229.libsvm,60,0.229,900,100,7
abtype7_w60_t0.25.libsvm,60,0.25,900,100,7
abtype7_w60_t0.27.libsvm,60,0.27,900,100,7
abtype7_w60_t0.29.libsvm,60,0.29,900,100,7
abtype7_w60_t0.311.libsvm,60,0.311,900,100,7
abtype7_w60_t0.331.libsvm,60,0.331,900,100,7
abtype7_w60_t0.352.libsvm,60,0.352,900,100,7
abtype7_w60_t0.372.libsvm,60,0.372,900,100,7
abtype7_w60_t0.392.libsvm,60,0.392,900,100,7
abtype7_w60_t0.413.libsvm,60,0.413,900,100,7
abtype7_w60_t0.433.libsvm,60,0.433,900,100,7
abtype7_w60_t0.453.libsvm,60,0.453,900,100,7
abtype7_w60_t0.474.libsvm,60,0.474,900,100,7
abtype7_w60_t0.494.libsvm,60,0.494,900,100,7
abtype7_w60_t0.515.libsvm,60,0.515,900,100,7
abtype7_w60_t0.535.libsvm,60,0.535,900,100,7
abtype7_w60_t0.555.libsvm,60,0.555,900,100,7
abtype7_w60_t0.576.libsvm,60,0.576,900,100,7
abtype7_w60_t0.596.libsvm,60,0.596,900,100,7
abtype7_w60_t0.617.libsvm,60,0.617,900,100,7
abtype7_w60_t0.637.libsvm,60,0.637,900,100,7
abtype7_w60_t0.657.libsvm,60,0.657,900,100,7
abtype7_w60_t0.678.libsvm,60,0.678,900,100,7
abtype7_w60_t0.698.libsvm,60,0.698,900,100,7
abtype7_w60_t0.718.libsvm,60,0.718,900,100,7
abtype7_w60_t0.739.libsvm,60,0.739,900,100,7
abtype7_w60_t0.759.libsvm,60,0.759,900,100,7
abtype7_w60_t0.78.libsvm,60,0.78,900,100,7
abtype7_w60_t0.8.libsvm,60,0.8,900,100,7
abtype7_w65_t0.005.libsvm,65,0.005,900,100,7
abtype7_w65_t0.025.libsvm,65,0.025,900,100,7
abtype7_w65_t0.046.libsvm,65,0.046,900,100,7
abtype7_w65_t0.066.libsvm,65,0.066,900,100,7
abtype7_w65_t0.087.libsvm,65,0.087,900,100,7
abtype7_w65_t0.107.libsvm,65,0.107,900,100,7
abtype7_w65_t0.127.libsvm,65,0.127,900,100,7
abtype7_w65_t0.148.libsvm,65,0.148,900,100,7
abtype7_w65_t0.168.libsvm,65,0.168,900,100,7
abtype7_w65_t0.188.libsvm,65,0.188,900,100,7
abtype7_w65_t0.209.libsvm,65,0.209,900,100,7
abtype7_w65_t0.229.libsvm,65,0.229,900,100,7
abtype7_w65_t0.25.libsvm,65,0.25,900,100,7
abtype7_w65_t0.27.libsvm,65,0.27,900,100,7
abtype7_w65_t0.29.libsvm,65,0.29,900,100,7
abtype7_w65_t0.311.libsvm,65,0.311,900,100,7
abtype7_w65_t0.331.libsvm,65,0.331,900,100,7
abtype7_w65_t0.352.libsvm,65,0.352,900,100,7
abtype7_w65_t0.372.libsvm,65,0.372,900,100,7
abtype7_w65_t0.392.libsvm,65,0.392,900,100,7
abtype7_w65_t0.413.libsvm,65,0.413,900,100,7
abtype7_w65_t0.433.libsvm,65,0.433,900,100,7
abtype7_w65_t0.453.libsvm,65,0.453,900,100,7
abtype7_w65_t0.474.libsvm,65,0.474,900,100,7
abtype7_w65_t0.494.libsvm,65,0.494,900,100,7
